databaze,schemat,tabulka,sloupec,poradi_ve_tabulce,datovy_typ,max_delka,ciselna_presnost,ciselna_mista,je_nullovatelny,vychozi_hodnota,je_identity
postgres,auth,oauth_clients,grant_types,6,text,null,null,null,false,null,false
postgres,auth,oauth_clients,client_name,7,text,null,null,null,true,null,false
postgres,auth,oauth_clients,client_uri,8,text,null,null,null,true,null,false
postgres,auth,oauth_clients,logo_uri,9,text,null,null,null,true,null,false
postgres,auth,oauth_clients,created_at,10,timestamp with time zone,null,null,null,false,now(),false
postgres,auth,oauth_clients,updated_at,11,timestamp with time zone,null,null,null,false,now(),false
postgres,auth,oauth_clients,deleted_at,12,timestamp with time zone,null,null,null,true,null,false
postgres,auth,oauth_clients,client_type,13,USER-DEFINED,null,null,null,false,'confidential'::auth.oauth_client_type,false
postgres,auth,oauth_consents,id,1,uuid,null,null,null,false,null,false
postgres,auth,oauth_consents,user_id,2,uuid,null,null,null,false,null,false
postgres,auth,oauth_consents,client_id,3,uuid,null,null,null,false,null,false
postgres,auth,oauth_consents,scopes,4,text,null,null,null,false,null,false
postgres,auth,oauth_consents,granted_at,5,timestamp with time zone,null,null,null,false,now(),false
postgres,auth,oauth_consents,revoked_at,6,timestamp with time zone,null,null,null,true,null,false
postgres,auth,one_time_tokens,id,1,uuid,null,null,null,false,null,false
postgres,auth,one_time_tokens,user_id,2,uuid,null,null,null,false,null,false
postgres,auth,one_time_tokens,token_type,3,USER-DEFINED,null,null,null,false,null,false
postgres,auth,one_time_tokens,token_hash,4,text,null,null,null,false,null,false
postgres,auth,one_time_tokens,relates_to,5,text,null,null,null,false,null,false
postgres,auth,one_time_tokens,created_at,6,timestamp without time zone,null,null,null,false,now(),false
postgres,auth,one_time_tokens,updated_at,7,timestamp without time zone,null,null,null,false,now(),false
postgres,auth,refresh_tokens,instance_id,1,uuid,null,null,null,true,null,false
postgres,auth,refresh_tokens,id,2,bigint,null,64,0,false,nextval('auth.refresh_tokens_id_seq'::regclass),false
postgres,auth,refresh_tokens,token,3,character varying,255,null,null,true,null,false
